floor,building,num_strongest_APs,min_AP_strength,min_strong_overlap,gain_error
2,0,2,-70,4,7.2841
2,0,2,-70,5,7.2841
2,0,2,-70,6,7.2841
2,0,3,-70,2,1.54
2,0,3,-70,3,7.2841
2,0,3,-70,4,7.2841
2,0,3,-70,5,7.2841
2,0,3,-70,6,7.2841
2,0,4,-70,2,2.4823
2,0,4,-70,3,2.3904
2,0,4,-70,4,7.2841
2,0,4,-70,5,7.2841
2,0,4,-70,6,7.2841
2,0,5,-70,2,2.9833
2,0,5,-70,3,2.4762
2,0,5,-70,4,1.502
2,0,5,-70,5,7.2841
2,0,5,-70,6,7.2841
2,0,7,-70,2,4.1262
2,0,7,-70,3,3.9198
2,0,7,-70,4,3.3707
2,0,7,-70,5,2.641
2,0,7,-70,6,2.4712
2,0,10,-70,2,1.7307
2,0,10,-70,3,1.0683
2,0,10,-70,4,3.9032
2,0,10,-70,5,4.7962
2,0,10,-70,6,4.982
3,0,2,-100,2,7.6063
3,0,2,-100,3,7.6063
3,0,2,-100,4,7.6063
3,0,2,-100,5,7.6063
3,0,2,-100,6,7.6063
3,0,3,-100,2,0.99683
3,0,3,-100,3,7.6063
3,0,3,-100,4,7.6063
3,0,3,-100,5,7.6063
3,0,3,-100,6,7.6063
3,0,4,-100,2,1.1684
3,0,4,-100,3,1.1725
3,0,4,-100,4,7.6063
3,0,4,-100,5,7.6063
3,0,4,-100,6,7.6063
3,0,5,-100,2,1.3755
3,0,5,-100,3,0.99396
3,0,5,-100,4,0.24709
3,0,5,-100,5,7.6063
3,0,5,-100,6,7.6063
3,0,7,-100,2,1.0115
3,0,7,-100,3,1.6076
3,0,7,-100,4,0.71631
3,0,7,-100,5,0.015941
3,0,7,-100,6,0.017779
3,0,10,-100,2,0.93282
3,0,10,-100,3,1.007
3,0,10,-100,4,1.0215
3,0,10,-100,5,1.0458
3,0,10,-100,6,0.50494
3,0,2,-90,2,7.6063
3,0,2,-90,3,7.6063
3,0,2,-90,4,7.6063
3,0,2,-90,5,7.6063
3,0,2,-90,6,7.6063
3,0,3,-90,2,1.3206
3,0,3,-90,3,7.6063
3,0,3,-90,4,7.6063
3,0,3,-90,5,7.6063
3,0,3,-90,6,7.6063
3,0,4,-90,2,1.5924
3,0,4,-90,3,1.5574
3,0,4,-90,4,7.6063
